"A.N.ON",,,,
"Adrian Pott",,,,
"Alfred James Bethell",,,,
"Alison McNair",,,,
"Andrew Tettenborn",,,,
"Annabel Tall","Q76363398","2017 United Kingdom general election","Bristol West","Conservative Party"
"Annabel Tall","Q76363398","2019 United Kingdom general election","Bath","Conservative Party"
"Barbara Burwell",,,,
"Bill Blockhead","Q76509876","2019 United Kingdom general election","Bath","independent politician"
"Brian R. Pamplin",,,,
"Charles Thompson",,,,
"Dominic Tristram",,,,
"Don Grimes",,,,
"Duncan McCanlis",,,,
"Eleanor Field",,,,
"Eric Lucas",,,,
"Ernie Warrender",,,,
"Fabian Richter",,,,
"Frederick S. Moorhouse",,,,
"George Allen",,,,
"George E Mayer",,,,
"Gilbert Young",,,,
"Graham Walker",,,,
"H. B. de Laterriere",,,,
"Harriet Ajderian",,,,
"Hattie Ajderian",,,,
"Henry Daubeney",,,,
"Hugh Bruce Oliphant Cardew",,,,
"Jenny Knight","Q63929098","2019 European Parliament election in South West England","South West England","English Democrats"
"Jenny Smith",,,,
"Jerom Murch",,,,
"Jimi Ogunnusi","Q63929378","2019 European Parliament election in London","London","Brexit Party"
"Jimi Ogunnusi","Q63929378","2019 United Kingdom general election","Bath","Brexit Party"
"Joe Rayment",,,,
"John Rumming",,,,
"John Vernon Kemp",,,,
"John William Nicholas Hervey",,,,
"Julian Deverell",,,,
"Loraine Morgan-Brinkhurst",,,,
"M. Baber",,,,
"Malcolm Dean",,,,
"Marilyn Hawkings",,,,
"May Barker",,,,
"Michael Boulton",,,,
"Mike Davies","Q62273309","2016 Leeds City Council election","Chapel Allerton","Alliance for Green Socialism"
"Mike Davies","Q62273309","2018 Leeds City Council election","Chapel Allerton","Alliance for Green Socialism"
"Mike Davies","Q62273309","2019 Leeds City Council Election","Chapel Allerton","Alliance for Green Socialism"
"Mike Davies","Q62273309","2019 United Kingdom general election","Leeds West","Alliance for Green Socialism"
"Mike Davies","Q76736907","2019 United Kingdom general election","Bath","Labour Party"
"Nicholas Pullen",,,,
"Ollie Middleton","Q63929035","2019 European Parliament election in South West England","South West England","Change UK"
"Pamela Richards",,,,
"Patrick Cobbe",,,,
"Peter Downey",,,,
"Peter Sandell",,,,
"Philip William Hopkins",,,,
"R. S. Wandle",,,,
"Richard Crowder",,,,
"Richard Scrase",,,,
"Robert Craig",,,,
"Roger H. Crowther",,,,
"Sean Geddis",,,,
"Sian Dawson",,,,
"Steve Bradley",,,,
"Steve Hewett",,,,
"Thomas James Smyth",,,,
"Thomas Mundy",,,,
"Thomas P Baptie",,,,
"Thomas W Richardson",,,,
"Tim Bush",,,,
"Tony Cook",,,,
"Walter Barton Scobell",,,,
"William Sutcliffe",,,,
"William Whateley",,,,
